Partei,Datum,Uhrzeit,Slideshow,Slide,Likes,Kommentare,Dateiname,Farbanteil
die_gruenen,2016-11-01,17-22-40,0,1,370,11,2016-11-01_17-22-40_UTC.jpg,0.8732
die_gruenen,2016-11-02,11-23-51,0,1,293,10,2016-11-02_11-23-51_UTC.jpg,0.3225
die_gruenen,2016-11-04,12-58-04,0,1,355,15,2016-11-04_12-58-04_UTC.jpg,0.1744
die_gruenen,2016-11-05,13-45-07,0,1,464,8,2016-11-05_13-45-07_UTC.jpg,0.8863
die_gruenen,2016-11-07,16-15-05,0,1,329,8,2016-11-07_16-15-05_UTC.jpg,0.8859
die_gruenen,2016-11-08,07-32-18,0,1,497,33,2016-11-08_07-32-18_UTC.jpg,0.0367
die_gruenen,2016-11-10,14-02-18,0,1,284,5,2016-11-10_14-02-18_UTC.jpg,0.3526
die_gruenen,2016-11-11,14-17-23,0,1,114,0,2016-11-11_14-17-23_UTC.jpg,0.9306
die_gruenen,2016-11-11,15-18-59,0,1,266,4,2016-11-11_15-18-59_UTC.jpg,0.2122
die_gruenen,2016-11-12,16-19-51,0,1,459,9,2016-11-12_16-19-51_UTC.jpg,0.1136
die_gruenen,2016-12-01,08-45-43,0,1,295,3,2016-12-01_08-45-43_UTC.jpg,0.7136
die_gruenen,2016-12-04,17-15-02,0,1,559,6,2016-12-04_17-15-02_UTC.jpg,0.2951
die_gruenen,2016-12-07,16-03-30,0,1,332,22,2016-12-07_16-03-30_UTC.jpg,0.6188
die_gruenen,2016-12-08,15-47-44,0,1,365,22,2016-12-08_15-47-44_UTC.jpg,0.7982
die_gruenen,2016-12-09,10-49-38,0,1,157,6,2016-12-09_10-49-38_UTC.jpg,0.0171
die_gruenen,2016-12-09,14-17-35,0,1,215,0,2016-12-09_14-17-35_UTC.jpg,0.0043
die_gruenen,2016-12-14,15-19-19,0,1,366,8,2016-12-14_15-19-19_UTC.jpg,0.5439
die_gruenen,2016-12-16,15-11-41,0,1,370,15,2016-12-16_15-11-41_UTC.jpg,0.647
die_gruenen,2016-12-20,08-44-49,0,1,488,21,2016-12-20_08-44-49_UTC.jpg,0.0007
die_gruenen,2016-12-21,11-58-19,0,1,502,18,2016-12-21_11-58-19_UTC.jpg,0.6254
die_gruenen,2016-12-24,11-39-24,0,1,310,5,2016-12-24_11-39-24_UTC.jpg,0.1658
die_gruenen,2016-12-30,18-37-04,0,1,325,4,2016-12-30_18-37-04_UTC.jpg,0.0172
die_gruenen,2017-01-01,00-07-38,0,1,292,15,2017-01-01_00-07-38_UTC.jpg,0.2313
die_gruenen,2017-01-04,11-15-27,0,1,257,21,2017-01-04_11-15-27_UTC.jpg,0.3547
die_gruenen,2017-01-07,10-26-34,0,1,128,10,2017-01-07_10-26-34_UTC.jpg,0.2117
die_gruenen,2017-01-09,14-24-08,0,1,206,1,2017-01-09_14-24-08_UTC.jpg,0.0547
die_gruenen,2017-01-10,09-43-46,0,1,178,0,2017-01-10_09-43-46_UTC.jpg,0.0156
die_gruenen,2017-01-10,13-15-55,0,1,163,5,2017-01-10_13-15-55_UTC.jpg,0.1671
die_gruenen,2017-01-11,16-39-57,0,1,548,6,2017-01-11_16-39-57_UTC.jpg,0.6182
die_gruenen,2017-01-12,15-54-44,0,1,252,16,2017-01-12_15-54-44_UTC.jpg,0.8956
die_gruenen,2017-01-13,16-09-56,0,1,727,43,2017-01-13_16-09-56_UTC.jpg,0.1785
die_gruenen,2017-01-14,14-15-54,0,1,283,2,2017-01-14_14-15-54_UTC.jpg,0.1945
die_gruenen,2017-01-16,14-15-53,0,1,218,4,2017-01-16_14-15-53_UTC.jpg,0.8228
die_gruenen,2017-01-18,09-09-05,0,1,394,11,2017-01-18_09-09-05_UTC.jpg,0.4125
die_gruenen,2017-01-18,11-46-50,0,1,476,13,2017-01-18_11-46-50_UTC.jpg,0.0051
die_gruenen,2017-01-19,16-03-51,0,1,393,11,2017-01-19_16-03-51_UTC.jpg,0.3203
die_gruenen,2017-01-20,14-03-02,0,1,650,11,2017-01-20_14-03-02_UTC.jpg,0.086
die_gruenen,2017-01-21,15-45-58,0,1,448,5,2017-01-21_15-45-58_UTC.jpg,0.0972
die_gruenen,2017-01-21,22-05-31,0,1,460,21,2017-01-21_22-05-31_UTC.jpg,0.8377
die_gruenen,2017-01-23,13-01-50,0,1,636,36,2017-01-23_13-01-50_UTC.jpg,0.2705
die_gruenen,2017-01-24,15-29-54,0,1,415,12,2017-01-24_15-29-54_UTC.jpg,0.7522
die_gruenen,2017-01-25,18-33-08,0,1,702,8,2017-01-25_18-33-08_UTC.jpg,0.2494
die_gruenen,2017-01-27,08-18-42,0,1,633,6,2017-01-27_08-18-42_UTC.jpg,0.3691
die_gruenen,2017-01-30,17-05-20,0,1,688,15,2017-01-30_17-05-20_UTC.jpg,0.7298
die_gruenen,2017-01-31,14-30-36,0,1,439,15,2017-01-31_14-30-36_UTC.jpg,0.2594
die_gruenen,2017-02-04,19-32-07,0,1,816,13,2017-02-04_19-32-07_UTC.jpg,0.0416
die_gruenen,2017-02-06,16-16-11,0,1,727,31,2017-02-06_16-16-11_UTC.jpg,0.8047
die_gruenen,2017-02-09,13-39-53,0,1,463,11,2017-02-09_13-39-53_UTC.jpg,0.2592
die_gruenen,2017-02-10,14-02-34,0,1,379,12,2017-02-10_14-02-34_UTC.jpg,0.4305
die_gruenen,2017-02-12,13-31-53,0,1,470,13,2017-02-12_13-31-53_UTC.jpg,0.5251
die_gruenen,2017-02-12,15-30-49,0,1,883,51,2017-02-12_15-30-49_UTC.jpg,0.02
die_gruenen,2017-02-12,17-44-18,0,1,454,12,2017-02-12_17-44-18_UTC.jpg,0.0187
die_gruenen,2017-02-15,17-54-03,0,1,301,21,2017-02-15_17-54-03_UTC.jpg,0.218
die_gruenen,2017-02-16,17-05-05,0,1,408,15,2017-02-16_17-05-05_UTC.jpg,0.2672
die_gruenen,2017-02-21,18-42-02,0,1,397,5,2017-02-21_18-42-02_UTC.jpg,0.4848
die_gruenen,2017-02-22,11-07-46,0,1,394,34,2017-02-22_11-07-46_UTC.jpg,0.2194
die_gruenen,2017-02-23,12-43-37,0,1,321,20,2017-02-23_12-43-37_UTC.jpg,0.2608
die_gruenen,2017-02-24,09-24-41,0,1,164,8,2017-02-24_09-24-41_UTC.jpg,0.0131
die_gruenen,2017-02-24,11-16-47,0,1,305,10,2017-02-24_11-16-47_UTC.jpg,0.139
die_gruenen,2017-02-28,15-04-20,0,1,664,10,2017-02-28_15-04-20_UTC.jpg,0.8176
die_gruenen,2017-02-28,18-35-52,0,1,491,17,2017-02-28_18-35-52_UTC.jpg,0.1183
die_gruenen,2017-03-02,10-35-36,0,1,562,42,2017-03-02_10-35-36_UTC.jpg,0.1751
die_gruenen,2017-03-02,17-26-47,0,1,282,16,2017-03-02_17-26-47_UTC.jpg,0.1961
die_gruenen,2017-03-03,13-03-43,0,1,465,9,2017-03-03_13-03-43_UTC.jpg,0.2034
die_gruenen,2017-03-06,16-22-51,0,1,797,39,2017-03-06_16-22-51_UTC.jpg,0.5488
die_gruenen,2017-03-07,16-49-46,0,1,608,20,2017-03-07_16-49-46_UTC.jpg,0.379
die_gruenen,2017-03-10,10-39-33,0,1,376,7,2017-03-10_10-39-33_UTC.jpg,0.3797
die_gruenen,2017-03-10,17-54-38,0,1,250,2,2017-03-10_17-54-38_UTC.jpg,0.0241
die_gruenen,2017-03-12,18-14-17,0,1,579,3,2017-03-12_18-14-17_UTC.jpg,0.0284
die_gruenen,2017-03-14,09-55-01,0,1,162,8,2017-03-14_09-55-01_UTC.jpg,0.5766
die_gruenen,2017-03-15,20-30-43,0,1,510,9,2017-03-15_20-30-43_UTC.jpg,0.5296
die_gruenen,2017-03-16,16-15-00,0,1,343,30,2017-03-16_16-15-00_UTC.jpg,0.4938
die_gruenen,2017-03-17,17-10-31,0,1,262,24,2017-03-17_17-10-31_UTC.jpg,0.3845
die_gruenen,2017-03-20,09-42-18,0,1,443,12,2017-03-20_09-42-18_UTC.jpg,0.3455
die_gruenen,2017-03-21,16-34-28,0,1,547,10,2017-03-21_16-34-28_UTC.jpg,0.5724
die_gruenen,2017-03-22,13-35-12,0,1,462,10,2017-03-22_13-35-12_UTC.jpg,0.8525
die_gruenen,2017-03-27,14-22-46,0,1,305,5,2017-03-27_14-22-46_UTC.jpg,0.5524
die_gruenen,2017-03-28,18-44-33,0,1,501,20,2017-03-28_18-44-33_UTC.jpg,0.0412
die_gruenen,2017-03-29,13-34-37,0,1,601,16,2017-03-29_13-34-37_UTC.jpg,0.0312
die_gruenen,2017-03-29,14-27-17,0,1,400,15,2017-03-29_14-27-17_UTC.jpg,0.0569
die_gruenen,2017-03-30,12-43-27,0,1,1013,36,2017-03-30_12-43-27_UTC.jpg,0.3464
die_gruenen,2017-04-03,11-57-46,0,1,687,58,2017-04-03_11-57-46_UTC.jpg,0.2912
die_gruenen,2017-04-10,13-12-50,0,1,484,17,2017-04-10_13-12-50_UTC.jpg,0.0767
die_gruenen,2017-04-11,19-44-55,0,1,483,35,2017-04-11_19-44-55_UTC.jpg,0.2758
die_gruenen,2017-04-13,09-45-58,0,1,536,13,2017-04-13_09-45-58_UTC.jpg,0.2858
die_gruenen,2017-04-13,17-55-49,0,1,827,76,2017-04-13_17-55-49_UTC.jpg,0.0
die_gruenen,2017-04-22,16-09-13,0,1,811,56,2017-04-22_16-09-13_UTC.jpg,0.2158
die_gruenen,2017-04-23,18-41-06,0,1,665,14,2017-04-23_18-41-06_UTC.jpg,0.0703
die_gruenen,2017-04-24,15-12-21,0,1,659,20,2017-04-24_15-12-21_UTC.jpg,0.2496
